ID,ACC
Os01g0106400|mRNA|AY071920|CDS+3'UTR,Os01g0106400
Os01g0106500|COMBINER|CI528395|0,Os01g0106500
Os01g0106500|COMBINER|CI528395|x,Os01g0106500
Os01g0106600|mRNA|AK061314|CDS+3'UTR,Os01g0106600
Os01g0106700|COMBINER_EST|Os01g0106700|8,Os01g0106700
Os01g0106800|mRNA|AK059300|CDS+3'UTR,Os01g0106800
Os01g0106800|mRNA|AK073331|CDS+3'UTR,Os01g0106800
Os01g0106800|mRNA|AK119792|CDS+3'UTR,Os01g0106800
Os01g0106900|mRNA|AF367205|CDS+3'UTR,Os01g0106900
Os01g0106900|mRNA|AK059692|CDS+3'UTR,Os01g0106900
Os01g0106900|mRNA|AK099702|CDS+3'UTR,Os01g0106900
Os01g0107000|mRNA|AK066969|CDS+3'UTR,Os01g0107000
Os01g0107000|mRNA|AK105067|CDS+3'UTR,Os01g0107000
Os01g0107300|mRNA|AK059460|5'UTR+CDS,Os01g0107300
Os01g0107400|COMBINER_EST|CI554480|0,Os01g0107400
Os01g0107700|mRNA|AK070027|CDS+3'UTR,Os01g0107700
Os01g0107900|mRNA|AK058708|CDS+3'UTR,Os01g0107900
Os01g0107900|mRNA|AK070363|CDS+3'UTR,Os01g0107900
Os01g0108000|mRNA|AK100813|CDS+3'UTR,Os01g0108000
Os01g0108200|mRNA|AK071405|CDS+3'UTR,Os01g0108200
Os01g0108200|mRNA|AK101672|5'UTR+CDS,Os01g0108200
Os01g0108400|COMBINER_EST|AU096466|7,Os01g0108400
Os01g0108500|COMBINER|CI356984|2,Os01g0108500
Os01g0108600|mRNA|AK070332|CDS+3'UTR,Os01g0108600
Os01g0108600|mRNA|AK109432|CDS+3'UTR,Os01g0108600
Os01g0108700|mRNA|AK111316|CDS+3'UTR,Os01g0108700
Os01g0108800|mRNA|AK102103|CDS+3'UTR,Os01g0108800
Os01g0109000|mRNA|AK120074|CDS+3'UTR,Os01g0109000
Os01g0109300|COMBINER_EST|CI312116|0,Os01g0109300
Os01g0109500|mRNA|AK058636|CDS+3'UTR,Os01g0109500
Os01g0109700|mRNA|AK121497|CDS+3'UTR,Os01g0109700
Os01g0109700|mRNA|AY224549|CDS,Os01g0109700
Os01g0110100|COMBINER|CI532153|0,Os01g0110100
Os01g0110100|COMBINER|CI532153|x,Os01g0110100
Os01g0110200|mRNA|AK109646|CDS+3'UTR,Os01g0110200
Os01g0110400|mRNA|AK101017|CDS+3'UTR,Os01g0110400
Os01g0110400|mRNA|AK103194|CDS+3'UTR,Os01g0110400
Os01g0110500|mRNA|AK101096|CDS+3'UTR,Os01g0110500
Os01g0110700|mRNA|AK100688|CDS+3'UTR,Os01g0110700
Os01g0110700|mRNA|AK119573|CDS+3'UTR,Os01g0110700
Os01g0110800|mRNA|AK065190|CDS+3'UTR,Os01g0110800
Os01g0111100|mRNA|AK065672|CDS+3'UTR,Os01g0111100
Os01g0111200|mRNA|AK102802|CDS+3'UTR,Os01g0111200
Os01g0111300|mRNA|AK105004|CDS+3'UTR,Os01g0111300
Os01g0111400|mRNA|AK066455|CDS+3'UTR,Os01g0111400
Os01g0111400|mRNA|AK067704|CDS+3'UTR,Os01g0111400
Os01g0111500|mRNA|AK108587|CDS+3'UTR,Os01g0111500
Os01g0111600|mRNA|AK110620|CDS+3'UTR,Os01g0111600
Os01g0111700|mRNA|AK108920|CDS+3'UTR,Os01g0111700
Os01g0111800|mRNA|AK059312|CDS+3'UTR,Os01g0111800
Os01g0111800|mRNA|AK071433|CDS+3'UTR,Os01g0111800
Os01g0111900|mRNA|AK103326|CDS+3'UTR,Os01g0111900
Os01g0112000|mRNA|AK103623|CDS+3'UTR,Os01g0112000
Os01g0112100|mRNA|AK070580|CDS+3'UTR,Os01g0112100
Os01g0112100|mRNA|AK100946|CDS+3'UTR,Os01g0112100
Os01g0112300|COMBINER_EST|CI076578|0,Os01g0112300
Os01g0112400|mRNA|AK106825|CDS+3'UTR,Os01g0112400
Os01g0112500|mRNA|AF005268|CDS+3'UTR,Os01g0112500
Os01g0112500|mRNA|AK058409|CDS+3'UTR,Os01g0112500
Os01g0112500|mRNA|AK120201|CDS+3'UTR,Os01g0112500
Os01g0112600|COMBINER|CI415744|x,Os01g0112600
Os01g0112800|COMBINER_EST|Os01g0112800|8,Os01g0112800
Os01g0113000|COMBINER_EST|CI273081|6,Os01g0113000
Os01g0113100|COMBINER_EST|Os01g0113100|8,Os01g0113100
Os01g0113200|mRNA|AF044260|CDS+3'UTR,Os01g0113200
Os01g0113300|mRNA|AK111565|CDS+3'UTR,Os01g0113300
Os01g0113400|mRNA|AK059374|CDS+3'UTR,Os01g0113400
Os01g0113400|mRNA|AK073168|CDS+3'UTR,Os01g0113400
Os01g0113500|COMBINER_EST|AU166305|7,Os01g0113500
Os01g0113600|mRNA|AK106707|CDS+3'UTR,Os01g0113600
Os01g0113600|mRNA|AK110685|CDS+3'UTR,Os01g0113600
Os01g0113700|COMBINER_EST|CI117027|6,Os01g0113700
Os01g0113800|mRNA|AK111700|CDS+3'UTR,Os01g0113800
Os01g0113900|mRNA|AK068796|CDS+3'UTR,Os01g0113900
Os01g0114100|mRNA|AK068451|CDS+3'UTR,Os01g0114100
Os01g0114100|mRNA|AY652891|CDS+3'UTR,Os01g0114100
Os01g0114200|mRNA|AK099453|CDS+3'UTR,Os01g0114200
Os01g0114300|mRNA|AF044489|CDS+3'UTR,Os01g0114300
Os01g0114300|mRNA|AK120121|CDS+3'UTR,Os01g0114300
Os01g0114400|COMBINER_EST|CI377211|6,Os01g0114400
Os01g0114500|COMBINER_EST|Os01g0114500|8,Os01g0114500
Os01g0114600|COMBINER_EST|AU032665|6,Os01g0114600
Os01g0114700|COMBINER_EST|Os01g0114700|8,Os01g0114700
Os01g0114800|mRNA|AK070789|CDS+3'UTR,Os01g0114800
Os01g0114900|COMBINER_EST|Os01g0114900|8,Os01g0114900
Os01g0115100|COMBINER|CI422220|6,Os01g0115100
Os01g0115100|COMBINER|CI515510|x,Os01g0115100
Os01g0115200|COMBINER_EST|Os01g0115200|8,Os01g0115200
Os01g0115300|mRNA|AK107581|UTR,Os01g0115300
Os01g0115600|mRNA|AK121074|CDS+3'UTR,Os01g0115600
Os01g0115700|COMBINER_EST|Os01g0115700|8,Os01g0115700
Os01g0115800|mRNA|AK120293|CDS+3'UTR,Os01g0115800
Os01g0115900|COMBINER_EST|Os01g0115900|8,Os01g0115900
Os01g0116000|COMBINER_EST|Os01g0116000|8,Os01g0116000
Os01g0116100|COMBINER_EST|Os01g0116100|8,Os01g0116100
Os01g0116200|mRNA|AK074011|CDS+3'UTR,Os01g0116200
Os01g0116300|COMBINER|CI442388|x,Os01g0116300
Os01g0116400|mRNA|AK066041|CDS+3'UTR,Os01g0116400
Os01g0116500|COMBINER_EST|Os01g0116500|8,Os01g0116500
Os01g0116600|mRNA|AK073254|CDS+3'UTR,Os01g0116600
Os01g0116600|mRNA|AK121811|CDS+3'UTR,Os01g0116600
Os01g0116900|COMBINER_EST|Os01g0116900|8,Os01g0116900
Os01g0117000|COMBINER_EST|CI356480|6,Os01g0117000
Os01g0117100|COMBINER_EST|Os01g0117100|8,Os01g0117100
Os01g0117200|mRNA|AK120089|CDS+3'UTR,Os01g0117200
Os01g0117300|COMBINER_EST|Os01g0117300|8,Os01g0117300
Os01g0117400|COMBINER_EST|CI356480|6,Os01g0117400
Os01g0117500|COMBINER_EST|Os01g0117500|8,Os01g0117500
Os01g0117600|mRNA|AK065867|CDS+3'UTR,Os01g0117600
Os01g0117700|COMBINER_EST|Os01g0117700|8,Os01g0117700
Os01g0117800|COMBINER_EST|Os01g0117800|8,Os01g0117800
Os01g0117900|mRNA|AK061369|CDS+3'UTR,Os01g0117900
Os01g0117900|mRNA|AK061406|CDS+3'UTR,Os01g0117900
Os01g0117900|mRNA|AK099425|CDS+3'UTR,Os01g0117900
Os01g0117900|mRNA|AK104596|CDS+3'UTR,Os01g0117900
Os01g0117900|mRNA|AK104611|CDS+3'UTR,Os01g0117900
Os01g0118000|mRNA|AK059097|CDS+3'UTR,Os01g0118000
Os01g0118000|mRNA|AK099387|CDS+3'UTR,Os01g0118000
Os01g0118000|mRNA|D10419|5'UTR+CDS,Os01g0118000
Os01g0118100|COMBINER_EST|CI044319|6,Os01g0118100
Os01g0118300|mRNA|AK065788|CDS+3'UTR,Os01g0118300
Os01g0118400|COMBINER_EST|CI551307|0,Os01g0118400
Os01g0118600|COMBINER_EST|CI246811|6,Os01g0118600
Os01g0118700|mRNA|AK070385|CDS+3'UTR,Os01g0118700
Os01g0119000|mRNA|AK071050|CDS+3'UTR,Os01g0119000
Os01g0119000|mRNA|AK105948|CDS+3'UTR,Os01g0119000
Os01g0119100|COMBINER_EST|CI435216|0,Os01g0119100
Os01g0119500|mRNA|AK105256|CDS+3'UTR,Os01g0119500
Os01g0119800|mRNA|AK105502|UTR,Os01g0119800
Os01g0120300|COMBINER_EST|CI273047|6,Os01g0120300
Os01g0120400|mRNA|AK067022|CDS+3'UTR,Os01g0120400
Os01g0120400|mRNA|AK104753|CDS+3'UTR,Os01g0120400
Os01g0120400|mRNA|AK109436|CDS+3'UTR,Os01g0120400
Os01g0120500|mRNA|AK070131|CDS+3'UTR,Os01g0120500
Os01g0120600|mRNA|AK106261|CDS+3'UTR,Os01g0120600
Os01g0120700|mRNA|AK067227|CDS+3'UTR,Os01g0120700
Os01g0120800|mRNA|AJ437346|CDS+3'UTR,Os01g0120800
Os01g0120800|mRNA|AK063986|5'UTR+CDS,Os01g0120800
Os01g0120800|mRNA|AK072604|CDS+3'UTR,Os01g0120800
Os01g0120800|mRNA|AK073457|5'UTR+CDS,Os01g0120800
Os01g0120800|mRNA|AK106560|5'UTR+CDS,Os01g0120800
Os01g0120800|mRNA|AK121302|CDS+3'UTR,Os01g0120800
Os01g0120800|mRNA|AK122166|CDS+3'UTR,Os01g0120800
Os01g0120900|mRNA|AK110709|CDS+3'UTR,Os01g0120900
Os01g0121000|COMBINER|CI251397|6,Os01g0121000
Os01g0121100|mRNA|AK071475|CDS+3'UTR,Os01g0121100
Os01g0121100|mRNA|AK100063|CDS+3'UTR,Os01g0121100
Os01g0121200|mRNA|AK108601|CDS+3'UTR,Os01g0121200
Os01g0121300|mRNA|AK103404|CDS+3'UTR,Os01g0121300
Os01g0121500|mRNA|AK107776|CDS+3'UTR,Os01g0121500
Os01g0121600|COMBINER_EST|CI562705|0,Os01g0121600
Os01g0121700|mRNA|AK120079|CDS+3'UTR,Os01g0121700
Os01g0121800|mRNA|AK069510|CDS+3'UTR,Os01g0121800
Os01g0121800|mRNA|AK073465|CDS+3'UTR,Os01g0121800
Os01g0121800|mRNA|AK105432|CDS+3'UTR,Os01g0121800
Os01g0122000|mRNA|AK109465|CDS+3'UTR,Os01g0122000
Os01g0122200|mRNA|AK107171|CDS+3'UTR,Os01g0122200
Os01g0122300|COMBINER_EST|Os01g0122300|8,Os01g0122300
Os01g0123000|mRNA|AK106806|CDS+3'UTR,Os01g0123000
Os01g0123500|COMBINER_EST|Os01g0123500|8,Os01g0123500
Os01g0123900|mRNA|AK070467|CDS+3'UTR,Os01g0123900
Os01g0123900|mRNA|AK104410|CDS+3'UTR,Os01g0123900
Os01g0123900|mRNA|AK104671|CDS+3'UTR,Os01g0123900
Os01g0124000|mRNA|AK065846|CDS+3'UTR,Os01g0124000
Os01g0124100|mRNA|AK062394|CDS+3'UTR,Os01g0124100
Os01g0124200|mRNA|AK067257|CDS+3'UTR,Os01g0124200
Os01g0124200|mRNA|AK104110|CDS+3'UTR,Os01g0124200
Os01g0124200|mRNA|AK104367|CDS+3'UTR,Os01g0124200
Os01g0124400|mRNA|AB098712|CDS+3'UTR,Os01g0124400
Os01g0124400|mRNA|AK064050|CDS+3'UTR,Os01g0124400
Os01g0124400|mRNA|AK099279|CDS+3'UTR,Os01g0124400
Os01g0124400|mRNA|U57640|CDS+3'UTR,Os01g0124400
Os01g0124400|mRNA|U76004|CDS+3'UTR,Os01g0124400
Os01g0124600|COMBINER|CI062412|6,Os01g0124600
Os01g0124700|mRNA|AK108197|CDS+3'UTR,Os01g0124700
Os01g0125500|COMBINER|CI447943|x,Os01g0125500
Os01g0125600|mRNA|AK103550|CDS+3'UTR,Os01g0125600
Os01g0125600|mRNA|AK105015|CDS+3'UTR,Os01g0125600
Os01g0125700|mRNA|AK121965|CDS+3'UTR,Os01g0125700
Os01g0125800|mRNA|AK121927|CDS+3'UTR,Os01g0125800
Os01g0125900|mRNA|AK103631|CDS+3'UTR,Os01g0125900
Os01g0126000|mRNA|AK109441|UTR,Os01g0126000
Os01g0126100|mRNA|AK106990|CDS+3'UTR,Os01g0126100
Os01g0126200|mRNA|AK121464|CDS+3'UTR,Os01g0126200
Os01g0126400|COMBINER|CI229707|6,Os01g0126400
Os01g0126500|COMBINER_EST|Os01g0126500|8,Os01g0126500
Os01g0126600|mRNA|AK065750|CDS+3'UTR,Os01g0126600
Os01g0126900|mRNA|AK109876|CDS+3'UTR,Os01g0126900
Os01g0127000|mRNA|AK105526|CDS+3'UTR,Os01g0127000
Os01g0127100|mRNA|AK106749|CDS+3'UTR,Os01g0127100
Os01g0127200|COMBINER|CI549797|0,Os01g0127200
Os01g0127200|COMBINER|CI549797|x,Os01g0127200
Os01g0127300|mRNA|AK068846|CDS+3'UTR,Os01g0127300
Os01g0127400|COMBINER_EST|Os01g0127400|8,Os01g0127400
Os01g0127500|mRNA|AK106870|CDS+3'UTR,Os01g0127500
Os01g0127600|mRNA|AK102138|CDS+3'UTR,Os01g0127600
Os01g0127600|mRNA|AK105455|CDS+3'UTR,Os01g0127600
Os01g0127700|mRNA|AK072972|CDS+3'UTR,Os01g0127700
Os01g0127900|mRNA|AK070177|CDS+3'UTR,Os01g0127900
Os01g0128000|mRNA|AK107424|CDS+3'UTR,Os01g0128000
Os01g0128100|mRNA|AK071917|CDS+3'UTR,Os01g0128100
Os01g0128200|mRNA|AK059608|CDS+3'UTR,Os01g0128200
Os01g0128200|mRNA|AK120005|CDS+3'UTR,Os01g0128200
Os01g0128300|COMBINER_EST|CB656727|7,Os01g0128300
Os01g0128400|mRNA|AK059332|CDS+3'UTR,Os01g0128400
Os01g0128400|mRNA|AK121214|CDS+3'UTR,Os01g0128400
Os01g0128700|mRNA|AK061534|CDS+3'UTR,Os01g0128700
Os01g0128800|mRNA|AK120447|CDS+3'UTR,Os01g0128800
Os01g0129100|COMBINER|CI415840|6,Os01g0129100
Os01g0129200|COMBINER_EST|Os01g0129200|8,Os01g0129200
Os01g0129300|COMBINER_EST|BP184350|7,Os01g0129300
Os01g0129500|mRNA|AK066377|CDS+3'UTR,Os01g0129500
Os01g0129500|mRNA|AK099326|CDS+3'UTR,Os01g0129500
Os01g0129600|COMBINER_EST|Os01g0129600|8,Os01g0129600
Os01g0129800|mRNA|AK107910|CDS+3'UTR,Os01g0129800
Os01g0130000|mRNA|AK060150|CDS+3'UTR,Os01g0130000
Os01g0130000|mRNA|AK061853|CDS+3'UTR,Os01g0130000
Os01g0130000|mRNA|AK069315|5'UTR+CDS,Os01g0130000
Os01g0130100|COMBINER_EST|Os01g0130100|8,Os01g0130100
Os01g0130200|COMBINER|CI449644|6,Os01g0130200
Os01g0130400|mRNA|AK063966|CDS+3'UTR,Os01g0130400
Os01g0130400|mRNA|AK102309|CDS+3'UTR,Os01g0130400
Os01g0130500|mRNA|AK110956|CDS+3'UTR,Os01g0130500
Os01g0130900|mRNA|AK105373|CDS+3'UTR,Os01g0130900
Os01g0131300|mRNA|AK101998|CDS+3'UTR,Os01g0131300
Os01g0131600|mRNA|AK062063|CDS+3'UTR,Os01g0131600
Os01g0131600|mRNA|AK063183|UTR,Os01g0131600
Os01g0131600|mRNA|AK101133|CDS+3'UTR,Os01g0131600
Os01g0131600|mRNA|AK102277|CDS+3'UTR,Os01g0131600
Os01g0131600|mRNA|AK119645|CDS+3'UTR,Os01g0131600
Os01g0131600|mRNA|AY341828|CDS+3'UTR,Os01g0131600
Os01g0131800|COMBINER_EST|CI522026|0,Os01g0131800
Os01g0131900|COMBINER_EST|Os01g0131900|8,Os01g0131900
Os01g0132000|mRNA|AB059238|CDS+3'UTR,Os01g0132000
Os01g0132000|mRNA|AK059239|CDS+3'UTR,Os01g0132000
Os01g0132100|COMBINER_EST|Os01g0132100|8,Os01g0132100
Os01g0132200|mRNA|AK108153|CDS+3'UTR,Os01g0132200
Os01g0132400|mRNA|AK106795|CDS+3'UTR,Os01g0132400
Os01g0132500|COMBINER_EST|Os01g0132500|8,Os01g0132500
Os01g0132600|COMBINER|CI441749|x,Os01g0132600
Os01g0132700|COMBINER_EST|CI415140|3,Os01g0132700
Os01g0132800|mRNA|AK068422|CDS+3'UTR,Os01g0132800
Os01g0133000|COMBINER|CI048006|6,Os01g0133000
Os01g0133100|mRNA|AK108760|5'UTR+CDS,Os01g0133100
Os01g0133100|mRNA|AK109801|5'UTR+CDS,Os01g0133100
Os01g0133200|mRNA|AK060424|CDS+3'UTR,Os01g0133200
Os01g0133400|mRNA|AK065247|CDS+3'UTR,Os01g0133400
Os01g0133500|mRNA|AK101232|CDS+3'UTR,Os01g0133500
Os01g0133500|mRNA|AK101585|CDS+3'UTR,Os01g0133500
Os01g0133700|COMBINER_EST|Os01g0133700|8,Os01g0133700
Os01g0133900|COMBINER_EST|CI191168|6,Os01g0133900
Os01g0134200|mRNA|AK102394|CDS+3'UTR,Os01g0134200
Os01g0134300|mRNA|AK059156|CDS+3'UTR,Os01g0134300
Os01g0134500|mRNA|AK111908|CDS+3'UTR,Os01g0134500
Os01g0134500|mRNA|AK112014|CDS+3'UTR,Os01g0134500
Os01g0134700|mRNA|AK111442|CDS+3'UTR,Os01g0134700
Os01g0134800|mRNA|AK063402|CDS+3'UTR,Os01g0134800
Os01g0134900|COMBINER_EST|CI468885|0,Os01g0134900
Os01g0135000|mRNA|AK119507|CDS+3'UTR,Os01g0135000
Os01g0135100|COMBINER|CI405972|6,Os01g0135100
Os01g0135400|mRNA|AK066675|CDS+3'UTR,Os01g0135400
Os01g0135600|COMBINER|CI323829|5,Os01g0135600
Os01g0135700|mRNA|AK062711|CDS+3'UTR,Os01g0135700
Os01g0135800|mRNA|AK063681|CDS+3'UTR,Os01g0135800
Os01g0135900|mRNA|AK062091|CDS+3'UTR,Os01g0135900
Os01g0135900|mRNA|AK064849|CDS+3'UTR,Os01g0135900
Os01g0135900|mRNA|AK065690|CDS+3'UTR,Os01g0135900
Os01g0135900|mRNA|AK119599|CDS+3'UTR,Os01g0135900
Os01g0136000|COMBINER_EST|CI053053|0,Os01g0136000
Os01g0136100|mRNA|X60820|CDS+3'UTR,Os01g0136100
Os01g0136200|mRNA|AK121025|CDS+3'UTR,Os01g0136200
Os01g0136300|mRNA|AK062428|CDS+3'UTR,Os01g0136300
Os01g0136400|mRNA|AK065470|CDS+3'UTR,Os01g0136400
Os01g0136500|COMBINER_EST|Os01g0136500|8,Os01g0136500
Os01g0136600|mRNA|AK107801|5'UTR+CDS,Os01g0136600
Os01g0136700|COMBINER|CI562212|x,Os01g0136700
Os01g0136800|mRNA|AK072170|CDS+3'UTR,Os01g0136800
Os01g0137000|COMBINER_EST|CB656417|7,Os01g0137000
Os01g0137100|COMBINER_EST|Os01g0137100|8,Os01g0137100
Os01g0137200|COMBINER_EST|Os01g0137200|8,Os01g0137200
Os01g0137300|mRNA|AK072903|CDS+3'UTR,Os01g0137300
Os01g0137400|mRNA|AK072764|5'UTR+CDS,Os01g0137400
Os01g0137500|mRNA|AK072359|CDS+3'UTR,Os01g0137500
Os01g0137700|mRNA|AK099988|CDS+3'UTR,Os01g0137700
Os01g0137800|mRNA|AK067239|UTR,Os01g0137800
Os01g0138100|mRNA|AK107843|CDS+3'UTR,Os01g0138100
Os01g0138300|mRNA|AK070932|CDS+3'UTR,Os01g0138300
Os01g0138300|mRNA|AK099912|CDS+3'UTR,Os01g0138300
Os01g0138400|mRNA|AK110482|CDS+3'UTR,Os01g0138400
Os01g0138500|mRNA|AK073435|CDS+3'UTR,Os01g0138500
Os01g0138600|mRNA|AK100982|CDS+3'UTR,Os01g0138600
Os01g0138800|mRNA|AK106157|CDS+3'UTR,Os01g0138800
Os01g0138900|mRNA|AK058378|CDS+3'UTR,Os01g0138900
Os01g0139000|COMBINER_EST|Os01g0139000|8,Os01g0139000
Os01g0139100|COMBINER|CI131699|6,Os01g0139100
Os01g0139200|mRNA|AK065080|CDS+3'UTR,Os01g0139200
Os01g0139200|mRNA|AK070687|CDS+3'UTR,Os01g0139200
Os01g0139200|mRNA|AK098852|CDS+3'UTR,Os01g0139200
Os01g0139200|mRNA|AK098894|CDS+3'UTR,Os01g0139200
Os01g0139200|mRNA|AK099060|CDS+3'UTR,Os01g0139200
Os01g0139600|mRNA|AK073130|CDS+3'UTR,Os01g0139600
Os01g0139700|COMBINER|CI426181|0,Os01g0139700
Os01g0139700|COMBINER|CI426181|x,Os01g0139700
Os01g0139900|mRNA|AK121677|CDS+3'UTR,Os01g0139900
Os01g0140100|mRNA|AK068990|CDS+3'UTR,Os01g0140100
Os01g0140400|mRNA|AK063999|CDS+3'UTR,Os01g0140400
Os01g0140400|mRNA|AK103044|CDS+3'UTR,Os01g0140400
Os01g0140500|mRNA|AK058868|CDS+3'UTR,Os01g0140500
Os01g0141000|mRNA|AK065008|CDS+3'UTR,Os01g0141000
Os01g0141100|mRNA|AF499028|CDS+3'UTR,Os01g0141100
Os01g0141100|mRNA|AK062139|CDS+3'UTR,Os01g0141100
Os01g0141100|mRNA|AK067644|CDS+3'UTR,Os01g0141100
Os01g0141600|mRNA|AK066922|CDS+3'UTR,Os01g0141600
Os01g0141700|mRNA|AB082381|CDS+3'UTR,Os01g0141700
Os01g0141700|mRNA|AK111907|CDS+3'UTR,Os01g0141700
Os01g0141700|mRNA|AK112097|CDS+3'UTR,Os01g0141700
Os01g0141800|COMBINER_EST|Os01g0141800|8,Os01g0141800
Os01g0141900|mRNA|AK070848|CDS+3'UTR,Os01g0141900
Os01g0142000|COMBINER_EST|CB650271|7,Os01g0142000
Os01g0142100|mRNA|AK062266|CDS+3'UTR,Os01g0142100
Os01g0142100|mRNA|AK065031|CDS+3'UTR,Os01g0142100
